,Date,Banks—Regional,Airports & Air Services,Auto Manufacturers,Real Estate Services,Utilities—Regulated Water,Steel,Utilities—Independent Power Producers,Infrastructure Operations,Marine Shipping,Utilities—Renewable,Utilities—Diversified,Oil & Gas Integrated,Airlines,Capital Markets,Farm & Heavy Construction Machinery,Broadcasting,Aerospace & Defense,Engineering & Construction,Real Estate—Development,Telecom Services,Industrial Distribution,Asset Management,Lodging,Medical Devices,Medical Distribution,Integrated Freight & Logistics,Beverages—Wineries & Distilleries,Consumer Electronics,Drug Manufacturers—Specialty & Generic,Chemicals,Electrical Equipment & Parts,Paper & Paper Products,Textile Manufacturing,Leisure,Packaged Foods,Security & Protection Services,Lumber & Wood Production,Real Estate—Diversified,Auto Parts,Conglomerates,Electronic Components,Luxury Goods,Entertainment,Specialty Business Services,Farm Products,Agricultural Inputs,Utilities—Regulated Electric,Computer Hardware,Communication Equipment,Apparel Manufacturing,Other Industrial Metals & Mining,Thermal Coal,Railroads,Specialty Retail,Beverages—Brewers,Specialty Chemicals,Electronics & Computer Distribution,Biotechnology,Semiconductor Equipment & Materials,Confectioners,Building Products & Equipment,Packaging & Containers,Waste Management,Aluminum,Publishing,Advertising Agencies,Specialty Industrial Machinery,Household & Personal Products,Copper,Software—Application,Drug Manufacturers—General,Department Stores,Building Materials,Auto & Truck Dealerships,Utilities—Regulated Gas,"Furnishings, Fixtures & Appliances",Oil & Gas Equipment & Services,Grocery Stores,Tools & Accessories,Oil & Gas Refining & Marketing,Pollution & Treatment Controls,Financial Conglomerates,Coking Coal,Personal Services,Other Precious Metals & Mining,Gold,Solar,Software—Infrastructure,Semiconductors,Trucking,Oil & Gas Midstream,Internet Content & Information,Electronic Gaming & Multimedia,Education & Training Services,Travel Services,Restaurants,Information Technology Services,Residential Construction,Oil & Gas E&P,Medical Care Facilities,Health Information Services,Business Equipment & Supplies,Pharmaceutical Retailers,Oil & Gas Drilling,Credit Services,Metal Fabrication,Banks—Diversified,Insurance—Life,Insurance—Property & Casualty,Financial Data & Stock Exchanges,Consulting Services,Diagnostics & Research,Footwear & Accessories,Recreational Vehicles,Beverages—Non-Alcoholic,Medical Instruments & Supplies,Scientific & Technical Instruments,Unnamed: 118,Apparel Retail
0,2020-01-02,9.923967337608337,39.06666692097982,8.243630446885762,9.517017059855991,6.896878123283386,4.5851370829802285,6.098181811246005,6.88081955909729,4.328972708095204,5.400820163580088,5.451428600719996,4.742500066757202,13.992307543754578,,9.101428627967834,12.156666358311973,18.571666757265728,7.676554857416357,8.01530839121619,17.244000148773193,6.549995812502774,11.705921309334894,16.675714356558665,12.324999809265135,13.1599999666214,11.510832071304321,99.58177878175465,9.058999800682068,13.507769982020061,,,7.74933257897695,7.0602111248742965,15.97060713171959,,1.5199999809265137,8.847631752490999,3.882500171661377,15.219741302378036,4.9231250286102295,23.33078143000603,15.589999973773955,10.57777780956692,10.649999959128245,7.494098371929593,14.462856883094425,6.9978571619306305,13.597873313086374,24.359166502952576,11.390888043812346,9.730286882473873,6.3388889763090335,,13.234843349456787,27.08857161658151,16.72320732805464,4.264999985694884,22.543033043543502,18.23502151966095,5.260000228881836,10.268009233474732,15.45120134949684,11.404444376627605,9.254999995231627,11.412792474031448,14.880000114440918,13.933460116386414,34.16981160640717,6.429999887943268,40.68698598356808,24.46161820671775,8.97318703286788,13.18031702041626,2.279999931653341,11.389919757843018,23.73599221706391,10.757526338100432,17.927601289749145,9.329532742500305,7.7133331298828125,12.669725179672241,8.220000267028809,4.078571455819266,8.569999694824219,15.329999923706055,11.627500414848328,6.617500007152557,18.847500324249264,,9.45936155319214,6.699999988079071,13.896666526794435,1.6100000143051147,11.265000104904175,33.18750095367432,6.619999885559082,22.501988381147385,15.670000076293945,2.809999942779541,52.469998121261604,20.85000085830689,18.69888105392456,40.319994688034065,2.2799999713897705,6.3400001525878915,8.287722676992416,5.325631419817606,52.31779479980469,7.739999771118164,8.25,24.170000076293945,46.59400043487549,8.326666514078775,21.496666272481278,27.32745933532715,24.895112355550125,17.889999389648438,,15.479999542236328
1,2020-01-03,9.922160387039183,38.96000099182129,8.35054934652228,9.447259267171225,6.902829194068909,4.598958473939162,6.0899999791925605,6.893092320515558,4.314909068020906,5.45471978187561,5.501428587096078,4.800000011920929,13.701334595680235,,9.167857084955488,12.698333660761516,19.040833393732708,7.668626871514827,7.981605618499045,17.02199993133545,6.600883895700628,12.225686141422816,16.675714492797848,12.289999961853027,13.299999713897705,11.635019898414614,95.68288442066738,8.994000053405761,13.469432438121126,,,7.7832111120224,7.078400373458862,16.155106484889984,,1.569999933242798,8.847631752490999,3.902499914169312,15.231455499050664,4.965000033378602,23.39270919561386,15.897500157356262,10.676666763093737,10.599999768393381,7.811143305566577,14.701904796418688,7.006428548267911,13.783826010567804,24.741666833559677,11.19230364050184,9.88058904501108,6.330555571450128,,13.200660896301267,26.950000081743518,16.7973269422849,4.264999866485597,22.298464457194015,18.237882447242736,5.28000020980835,10.24202857017517,15.29345640540123,11.560000048743355,9.292999923229216,11.497869551181793,15.797999954223632,13.949807645569384,34.631896823644645,6.445000231266023,40.811218710506665,24.317122416062787,8.987193612491382,12.933983977635704,2.279999931653341,11.4559059381485,23.69195321798325,11.085679173469543,17.91854319572449,9.386600852012633,7.9633331298828125,12.769198417663574,8.199999809265138,4.089999914169312,8.789999961853027,15.609999656677244,12.209999799728394,6.680000126361848,18.887499809265137,,9.455417701176234,6.737499952316284,14.646666526794435,1.690000057220459,11.320000171661375,33.33250093460083,6.920000076293945,22.814377784729004,16.299999237060547,2.9200000762939453,51.239998579025276,21.974999189376828,18.511575984954835,40.08849549293518,2.4200000762939453,6.3400001525878915,8.259300440549849,5.289884050687153,52.552435874938965,7.760000228881836,8.220000267028809,23.71999931335449,46.04000015258789,8.086666584014893,22.043333609898887,27.21576690673828,24.490329424540207,17.760000228881836,,15.220000267028807
2,2020-01-06,9.85226571559906,38.38999938964844,8.351459340045327,9.400095211135016,6.940878081321716,4.600228135402387,6.0245454853231255,6.864600621736968,4.2917363752018325,5.423074337152334,5.517142874853952,4.905000090599059,13.408347725868225,,9.127142872129168,12.841666777928669,19.31416658560435,7.6713778110260655,7.983949389568595,17.289999866485594,6.695324074138295,11.994361196245466,16.601428304399764,12.289999961853027,13.247499704360962,11.650766066142491,95.44801667758396,8.935000038146972,13.473440871519204,,,7.784639930725097,7.1128844420115165,16.28334930539131,,1.625,8.832570970058441,3.9500000476837163,15.542138221217135,5.033749982714654,23.767415891091034,16.332499712705612,10.785555627610949,10.508571352277484,7.963910248544482,14.638095083690825,6.963571361133031,13.871909822736466,25.260833481947586,11.088732259614126,10.071756573823784,6.37222221162584,,13.231002712249756,26.548570973532538,17.009059912628597,4.2549999952316275,22.23013150691986,18.379456043243405,5.260000228881836,10.297079944610596,15.356366515159607,11.56444443596734,9.417999887466431,11.6470505297184,17.04600009918213,14.049657453953381,34.862700819969184,6.594999969005585,40.652879364350255,24.096740126609802,9.007840966477113,12.841341384251912,2.2800000111262,11.868133997917175,23.56795551776886,11.603086292743685,17.80960683822632,9.810949921607973,8.260000069936117,12.7989239692688,8.079999923706055,4.115714277539935,8.949999809265137,16.329999923706055,13.274999856948853,6.807499885559082,19.109999895095825,,9.46958977835519,6.79749995470047,14.883333206176758,1.7699999809265137,11.379999876022339,33.06749987602234,6.8499999046325675,23.202880680561066,17.059999465942386,3.0899999141693115,50.17500114440918,21.58500099182129,18.6016357421875,39.920119047164924,2.490000009536743,6.289999961853027,8.300222635269165,5.250163793563843,51.88510131835938,7.679999828338622,8.319999694824219,23.739999771118164,46.110000419616696,8.266666571299233,22.303333123524986,26.9365348815918,24.509870529174805,18.0,,15.539999961853027
3,2020-01-07,9.907177925109863,38.35999997456869,8.416788389808254,9.483621319135029,7.023804974555969,4.665802717208862,6.061818263747475,6.873866521395169,4.316699981689453,5.509141555199256,5.541428531919207,4.842500090599059,13.710951407750446,,9.177142824445452,13.323333660761516,19.34416675567627,7.732801751887544,8.063903936119967,17.510000133514403,6.81978533484719,12.34286676134382,16.882857186453684,12.625,13.382500290870668,11.804107870374407,96.89573972565788,9.032000136375427,13.604096213976543,,,7.83238509496053,7.258510737192062,16.349974870681766,,1.6799999475479126,8.854706585407259,3.975000023841858,15.737308637768614,5.059375047683716,24.23820061484973,16.065000087022778,11.255555603239275,10.729999950953893,7.969687620798748,14.721428712209065,7.020714334079198,13.93750480243138,25.353333115577694,11.272065673555643,9.9878759934352,6.4849999348322545,,13.547358894348145,26.799999850136892,17.107641014787887,4.299999952316283,22.62157654762268,18.418810415267945,5.3400001525878915,10.456746864318848,15.60124284029007,11.791111151377358,9.41699993610382,12.09483215212822,17.05399971008301,14.315135551170563,35.19304078817368,6.6249998807907104,41.89793600755579,24.357431758533824,9.14363447007011,12.994560925165812,2.3366666634877524,11.754817652702332,23.98744798898697,11.397255152463913,17.832016277313233,9.944933176040651,8.140000025431316,13.060759782791138,8.220000267028809,4.2914286000388016,9.18000030517578,16.129999160766598,12.9399995803833,6.982499897480012,20.08499956130981,,9.601971898760114,6.709999978542327,15.103333791097008,1.75,11.650000095367432,33.442501068115234,7.010000228881836,23.503958523273468,17.6299991607666,3.009999990463257,51.19999885559082,21.704999446868896,18.973695755004886,40.42916703224182,2.4100000858306885,6.329999923706055,8.614464849233629,5.275044043858847,52.37766075134277,7.739999771118164,8.579999923706055,23.76000022888184,46.8879997253418,8.140000025431316,22.329999446868896,27.187843322753906,24.51466464996338,18.030000686645508,,15.630000114440918
4,2020-01-08,9.730634212493896,38.19666608174642,8.393180796974582,9.310949563980104,6.922926735877991,4.626235292508052,5.99909094246951,6.858156882799588,4.24177272753282,5.419899628712582,5.470000096729825,4.877500116825104,13.461626370747886,,9.089285612106325,12.731666723887123,19.787499984105423,7.593015437430523,7.903647694476815,16.80799980163574,6.855471329255537,11.667312553950719,16.567142622811453,12.355000019073485,13.114999771118164,11.649830358369009,96.28525228159769,8.967999935150146,13.370270055883072,,,7.676640772819519,7.1316416036515005,16.144857972860336,,1.7400000095367432,8.724949479103088,3.879999995231629,16.09659272549199,5.033749982714654,23.99087211489677,16.377499908208847,10.941111061308119,10.495714391980853,7.652422123485142,14.49809529667809,6.928571428571429,13.875352280480524,25.16333306829135,11.040270294461932,9.88265664760883,6.330000042915344,,13.306512928009033,26.654286112104145,16.788789735900032,4.224999904632568,22.45698642730713,18.09617328643799,5.190000057220459,10.31418504714966,15.47228056192398,11.589999940660265,9.193999874591828,11.924182593822481,16.374000358581544,14.196856664939663,35.18792375922203,6.730000078678131,41.065448340247656,24.206139586188574,8.970779531142291,12.684593391418455,2.359999974568685,11.596170973777769,23.82944107055664,11.572278022766113,17.574675464630126,9.888119220733644,8.216666698455809,12.771400928497314,8.010000228881836,4.16571433203561,9.25,15.81999969482422,13.62000048160553,6.892499923706055,20.6800000667572,,9.458294187273298,6.600000083446503,14.533333778381348,1.7000000476837158,11.52999997138977,33.350000858306885,7.010000228881836,23.27520155906677,16.350000381469727,3.109999895095825,51.08000087738037,21.50500011444092,18.57445592880249,40.408607959747314,2.440000057220459,6.130000114440918,8.544893771409987,5.210403680801392,51.430264472961426,7.550000190734862,8.180000305175781,23.38999938964844,46.642001152038574,7.776666482289633,22.03666694959005,26.83415031433105,23.748881340026852,17.40999984741211,,15.300000190734865
5,2020-01-09,9.79104654788971,38.57999928792318,8.554759929054661,9.449225438965689,6.986853575706482,4.639896209423358,6.030000003901395,6.883601592137262,4.2790091037750235,5.509847806050226,5.475714308874948,4.802500069141388,13.983408013979592,,9.187857031822203,12.893333514531456,19.28416697184245,7.677224448386659,8.035157569619113,17.179999828338627,6.906296274878763,11.917902673993792,16.782856804983954,12.68499994277954,13.350000143051147,11.767211743763516,97.82717432294572,9.128999805450439,13.652850062239404,,,7.771459801991781,7.253610417956398,16.338342934846878,,1.6799999475479126,8.802024483680725,3.900000095367432,16.213641400430713,5.078750006854534,24.45502838492393,15.967500358819963,10.98888874053955,10.667142731802805,7.678025735749139,14.677142824445452,7.032142775399344,13.903728587286814,25.896666646003727,11.207940936088562,9.878789782524107,6.366111053360831,,13.472663688659669,27.149999891008648,16.966064168347252,4.2899999618530265,22.854835192362472,18.37253513336181,5.230000019073486,10.426765060424804,15.945392698049545,11.774444421132404,9.305000066757204,12.058375895023346,16.649999809265136,14.405542418990336,36.01051470637321,6.850000143051148,42.54570111106424,24.918907642364502,9.080177387770485,12.81253663698832,2.396666725476583,11.610016846656801,24.24745013713836,11.277417927980425,17.62401113510132,10.08828139305115,8.103333155314129,12.955897092819214,8.100000381469728,4.1585714135851175,9.199999809265137,15.720000267028807,12.647499799728394,6.9625000953674325,21.59249973297119,,9.617344311305457,6.670000076293945,14.663333257039387,1.7599999904632568,11.619999885559082,34.182499885559075,6.880000114440918,23.6227687895298,16.350000381469727,2.970000028610229,52.570001125335686,23.089999675750732,18.818749618530273,41.854223966598504,2.390000104904175,6.170000076293945,8.629464745521545,5.220243811607362,51.85758781433106,7.619999885559082,8.359999656677246,23.86000061035156,50.30800094604492,7.829999923706055,22.3233335018158,27.12268829345703,24.190412521362305,18.059999465942386,,15.460000038146973
6,2020-01-10,9.800634288787842,39.06999969482422,8.600883797595376,9.447358780437046,7.0159023761749255,4.626742972777441,6.019090901721608,6.856898436179527,4.266745502298528,5.366024347452017,5.4342856747763495,4.769999980926514,13.87688752015432,,9.141428538731166,12.768333514531456,19.012499888737995,7.674951416380862,8.002001535060794,16.799999618530272,6.977226430719549,11.902226243700301,16.761428696768625,12.59499979019165,13.287500262260435,11.830810342516218,99.08589620249613,9.121999883651734,13.708648352062,,,7.777569468816122,7.253190880730037,16.381031066179276,,1.6200000047683716,8.79232782125473,3.892500042915344,16.044411533019122,5.019375063478948,24.704337269067764,15.774999767541885,10.882222096125282,10.811428615025113,7.547950002882215,14.651428483781359,6.967142854418073,13.860535212925502,25.871666431427002,11.303384814943586,9.815397005814773,6.325000007947287,,13.585657978057863,27.51142835617065,17.119524988863205,4.269999980926514,22.9722021818161,18.286127257347108,5.260000228881836,10.371724843978884,15.8215911090374,11.743333286709257,9.178999936580658,12.121480643749235,15.878000068664553,14.385192550403971,36.198748856782906,6.6099998354911795,43.23210863506093,24.99145179445093,9.166145296657788,12.96711376508077,2.339999993642172,11.505440616607663,24.364957666397096,10.947557240724564,17.814830350875855,10.072214365005491,7.940000057220459,12.886309385299684,8.130000114440918,4.092857156481061,9.15999984741211,15.489999771118164,12.387500405311586,6.902499973773956,21.574999570846558,,9.613115446908132,6.602499961853027,14.813333511352539,1.7100000381469729,11.580000400543213,34.27999925613403,6.929999828338622,23.37438055872917,16.040000915527347,2.900000095367432,53.30000066757202,22.90499949455261,18.98575315475464,41.80934047698975,2.3499999046325684,6.139999866485597,8.708577066659927,5.218577106793722,51.77374076843262,7.5999999046325675,8.239999771118164,23.649999618530273,50.92800045013428,7.736666679382324,21.860000212987266,27.63461494445801,24.278175036112472,17.899999618530273,,15.579999923706055
7,2020-01-13,9.843011355400085,38.86666552225749,8.625658951307598,9.53932860162523,7.062878060340881,4.6425427840306215,5.9999999241395425,6.878411824886617,4.279009114612233,5.346039643654456,5.4700000286102295,4.772499978542328,13.876978675524391,,9.18642851284572,13.291666587193806,19.008333325386047,7.7490896265557465,8.08559539706208,17.113999843597412,6.98984863541343,11.813663959503176,16.95714282989502,12.69499969482422,13.320000290870668,11.860609497342795,100.31993229048592,9.147000098228457,13.809907564929885,,,7.79553390343984,7.337953544798352,16.509083956480026,,1.6399999856948853,8.814827799797056,3.887499988079071,16.34319047834359,5.038749985396862,25.45201087991397,15.780000269412994,11.01999995443556,10.831428595951625,7.5858600934346505,14.755238067536125,6.975000108991351,14.022893871579852,26.64874991774559,11.435823781149725,9.865328238560604,6.325000021192763,,13.6405668258667,27.592857224600657,17.393524434831406,4.270000100135803,23.07962465286255,18.732294821739195,5.349999904632568,10.428539896011351,15.913136780261992,11.915555636088051,9.3110000371933,12.318922162055971,16.339999961853028,14.6106560179885,36.39949733018875,6.660000145435332,44.7898353548611,25.15961928801103,9.211505178142996,12.870967562993366,2.4133332967758183,11.568935918807984,24.49094566106796,11.06283038854599,17.908442878723143,10.191274046897886,8.023333390553793,12.961309432983398,8.119999885559082,4.114285741533552,9.050000190734863,15.800000190734865,12.305000185966492,7.025000035762787,21.64249992370605,,9.61164903640747,6.627499938011169,15.666666348775227,1.6499999761581419,11.56999969482422,33.46750020980835,7.03000020980835,23.713118135929108,15.800000190734865,2.900000095367432,53.429998874664314,24.66500020027161,19.13988237380981,41.40015316009522,2.3399999141693115,6.179999828338622,8.724595844745638,5.226910511652629,52.56132888793945,7.679999828338622,8.300000190734862,23.6200008392334,52.355999755859365,8.02666680018107,22.44666624069214,27.783536911010746,24.431507428487137,18.709999084472656,,15.739999771118164
8,2020-01-14,9.804099178314207,38.30333264668783,8.490708878165798,9.558956993950737,7.1537316083908085,4.659808832865495,6.009090889583933,6.856129187804003,4.299454537304965,5.3482356805067806,5.458571399961199,4.762499988079071,13.874010721842446,,9.237142716135297,13.165000041325886,18.84416675567627,7.770023487983866,8.062840988469679,16.9439998626709,6.9843308492140315,11.723438126700266,16.868571553911483,12.570000171661375,13.242500066757202,11.820379631859913,98.8746861389705,9.207999944686891,13.845680248503589,,,7.860346929232278,7.3093670436314175,16.387710869312283,,1.6000000238418581,8.812328159809114,3.8875000476837163,16.32280317474814,5.0331250727176675,25.081403513749443,15.737499952316284,11.259999805026586,10.771428380693708,7.650799896981982,14.719047728038971,6.978571466037206,13.728998286383494,26.15875030557315,11.51536042349679,10.010966676932117,6.31611106130812,,13.504940128326414,26.902857371738982,17.249543925126392,4.255000114440918,23.127467751502987,18.57165167331696,5.300000190734863,10.479642772674561,15.78596031665802,12.226666609446205,9.6,12.364214837551115,16.797999954223634,14.651095549825213,35.68817168474197,6.645000159740447,44.66969063702752,24.92727985165336,9.263562710846172,12.883812967936196,2.4766666491826377,11.594818043708804,24.316960406303405,11.133840024471283,17.622697639465333,9.75089943408966,7.906666596730549,13.76007342338562,8.270000457763674,4.112857171467373,9.039999961853027,15.760000228881836,12.21999979019165,7.085000038146973,21.295000553131107,,9.594752856663298,6.600000023841858,16.573333104451493,1.6399999856948853,11.514999628067017,32.93999910354614,7.179999828338622,23.684581398963928,15.630000114440918,2.900000095367432,51.93999886512756,24.329999446868896,19.097062873840333,41.329754114151,2.3399999141693115,6.239999771118164,8.63426700234413,5.223697066307069,52.45714378356934,7.71999979019165,8.149999618530272,23.399999618530273,51.82599925994873,8.333333492279053,22.873332818349198,27.69976806640625,24.179305394490555,18.31999969482422,,15.6899995803833
9,2020-01-15,9.706204366683961,37.81666692097982,8.285045222232219,9.642819139692518,7.164926743507385,4.6221457444704495,5.955454620448027,6.839970350265503,4.263100028038025,5.311286651171171,5.402857099260602,4.7200000286102295,13.773955980936684,,9.197142788342068,12.886666774749756,18.589999834696453,7.767668551587044,8.000141088352647,16.896000099182128,6.976191108877009,11.70883205958775,16.71142864227295,12.550000190734865,13.182499885559082,11.725518226623535,99.34538757801056,9.05199999809265,13.769803372083926,,,7.991876117388407,7.2744402544839035,16.392590284347534,,1.6549999713897705,8.8100705742836,3.857500076293945,16.311231393440096,4.9856250286102295,24.93825855851173,15.795000433921814,11.268888923856947,10.7428571837289,7.507744405004712,14.641428538731166,6.952142817633492,13.758662291935511,26.460416605075196,11.617799213954381,9.72835704913506,6.228333406978184,,13.474202060699465,26.990000111716128,17.040150973531937,4.21999990940094,23.10433399677277,18.848332381248483,5.230000019073486,10.454940700531006,15.968206286430359,12.275555504692926,9.635999989509582,12.296627163887026,16.65999984741211,14.677266092367574,35.79480636119842,6.5149999260902405,45.119054864434645,24.98906696926464,9.23334689350689,12.7738618850708,2.450000007947286,11.44201135635376,24.092479169368744,11.056308954954147,17.404687452316285,10.047011017799377,7.809999942779541,13.78009581565857,8.149999618530272,4.034285681588309,9.050000190734863,15.5,12.187499642372133,7.1125001311302185,21.709999799728394,,9.499228409358434,6.584999918937683,17.570000012715653,1.6100000143051147,11.634999990463257,33.0,7.139999866485597,23.72700992226601,15.489999771118164,2.8199999332427983,52.65499830245972,23.85499930381775,19.188185501098637,41.85141253471375,2.3199999332427983,6.170000076293945,8.53857696056366,5.1855636437733965,52.056668281555176,7.5999999046325675,8.170000076293945,23.25,52.633999061584475,8.523333390553793,22.53333298365275,27.625307083129886,24.356113751729325,18.209999084472656,,15.880000114440918
