Date,Banks—Regional,Airports & Air Services,Auto Manufacturers,Real Estate Services,Utilities—Regulated Water,Steel,Utilities—Independent Power Producers,Infrastructure Operations,Marine Shipping,Utilities—Renewable,Utilities—Diversified,Oil & Gas Integrated,Airlines,Capital Markets,Farm & Heavy Construction Machinery,Broadcasting,Aerospace & Defense,Engineering & Construction,Real Estate—Development,Telecom Services,Industrial Distribution,Asset Management,Lodging,Medical Devices,Medical Distribution,Integrated Freight & Logistics,Beverages—Wineries & Distilleries,Consumer Electronics,Drug Manufacturers—Specialty & Generic,Chemicals,Electrical Equipment & Parts,Paper & Paper Products,Textile Manufacturing,Leisure,Packaged Foods,Security & Protection Services,Lumber & Wood Production,Real Estate—Diversified,Auto Parts,Conglomerates,Electronic Components,Luxury Goods,Entertainment,Specialty Business Services,Farm Products,Agricultural Inputs,Utilities—Regulated Electric,Computer Hardware,Communication Equipment,Apparel Manufacturing,Other Industrial Metals & Mining,Thermal Coal,Railroads,Specialty Retail,Beverages—Brewers,Specialty Chemicals,Electronics & Computer Distribution,Biotechnology,Semiconductor Equipment & Materials,Confectioners,Building Products & Equipment,Packaging & Containers,Waste Management,Aluminum,Publishing,Advertising Agencies,Specialty Industrial Machinery,Household & Personal Products,Copper,Software—Application,Drug Manufacturers—General,Department Stores,Building Materials,Auto & Truck Dealerships,Utilities—Regulated Gas,"Furnishings, Fixtures & Appliances",Oil & Gas Equipment & Services,Grocery Stores,Tools & Accessories,Oil & Gas Refining & Marketing,Pollution & Treatment Controls,Financial Conglomerates,Coking Coal,Personal Services,Other Precious Metals & Mining,Gold,Solar,Software—Infrastructure,Semiconductors,Trucking,Oil & Gas Midstream,Internet Content & Information,Electronic Gaming & Multimedia,Education & Training Services,Travel Services,Restaurants,Information Technology Services,Residential Construction,Oil & Gas E&P,Medical Care Facilities,Health Information Services,Business Equipment & Supplies,Pharmaceutical Retailers,Oil & Gas Drilling,Credit Services,Metal Fabrication,Banks—Diversified,Insurance—Life,Insurance—Property & Casualty,Financial Data & Stock Exchanges,Consulting Services,Diagnostics & Research,Footwear & Accessories,Recreational Vehicles,Beverages—Non-Alcoholic,Medical Instruments & Supplies,Scientific & Technical Instruments,,Apparel Retail
2020-01-06,9.85226571559906,38.38999938964844,8.351459340045327,9.400095211135017,6.940878081321716,4.600228135402386,6.0245454853231255,6.864600621736967,4.2917363752018325,5.423074337152334,5.517142874853952,4.90500009059906,13.408347725868225,,9.127142872129168,12.84166677792867,19.31416658560435,7.6713778110260655,7.983949389568595,17.289999866485594,6.695324074138295,11.994361196245466,16.601428304399764,12.289999961853027,13.247499704360962,11.650766066142491,95.44801667758396,8.935000038146972,13.473440871519202,,,7.784639930725097,7.112884442011516,16.28334930539131,,1.625,8.832570970058441,3.950000047683716,15.542138221217137,5.033749982714653,23.76741589109103,16.332499712705612,10.785555627610949,10.508571352277484,7.963910248544481,14.638095083690825,6.96357136113303,13.871909822736468,25.260833481947582,11.088732259614128,10.071756573823782,6.372222211625841,,13.231002712249756,26.54857097353254,17.009059912628597,4.254999995231628,22.23013150691986,18.379456043243408,5.260000228881836,10.297079944610596,15.356366515159607,11.564444435967339,9.417999887466431,11.647050529718399,17.04600009918213,14.04965745395338,34.86270081996918,6.594999969005585,40.65287936435026,24.096740126609802,9.007840966477113,12.841341384251912,2.2800000111262,11.868133997917175,23.56795551776886,11.603086292743683,17.80960683822632,9.810949921607971,8.260000069936117,12.798923969268799,8.079999923706055,4.115714277539935,8.949999809265137,16.329999923706055,13.274999856948853,6.807499885559082,19.109999895095825,,9.46958977835519,6.79749995470047,14.883333206176758,1.7699999809265137,11.379999876022339,33.06749987602234,6.849999904632568,23.202880680561066,17.059999465942383,3.0899999141693115,50.17500114440918,21.58500099182129,18.6016357421875,39.92011904716492,2.490000009536743,6.289999961853027,8.300222635269165,5.250163793563843,51.885101318359375,7.679999828338623,8.319999694824219,23.739999771118164,46.110000419616696,8.266666571299234,22.303333123524983,26.936534881591797,24.509870529174805,18.0,,15.539999961853027
2020-01-07,9.907177925109863,38.35999997456869,8.416788389808254,9.48362131913503,7.023804974555969,4.665802717208862,6.061818263747475,6.87386652139517,4.316699981689453,5.509141555199256,5.541428531919207,4.84250009059906,13.710951407750448,,9.177142824445452,13.323333660761515,19.34416675567627,7.7328017518875445,8.063903936119967,17.510000133514403,6.81978533484719,12.342866761343819,16.882857186453684,12.625,13.382500290870667,11.804107870374407,96.89573972565788,9.032000136375427,13.604096213976542,,,7.8323850949605305,7.258510737192063,16.349974870681763,,1.6799999475479126,8.854706585407257,3.975000023841858,15.737308637768615,5.059375047683716,24.238200614849728,16.06500008702278,11.255555603239271,10.729999950953893,7.969687620798747,14.721428712209066,7.020714334079197,13.937504802431379,25.353333115577698,11.272065673555646,9.9878759934352,6.484999934832255,,13.547358894348145,26.799999850136892,17.107641014787887,4.299999952316284,22.62157654762268,18.418810415267945,5.340000152587891,10.456746864318848,15.60124284029007,11.79111115137736,9.41699993610382,12.09483215212822,17.05399971008301,14.315135551170565,35.193040788173676,6.6249998807907104,41.89793600755579,24.357431758533824,9.14363447007011,12.994560925165812,2.3366666634877524,11.754817652702332,23.98744798898697,11.397255152463913,17.832016277313233,9.94493317604065,8.140000025431315,13.060759782791138,8.220000267028809,4.291428600038801,9.180000305175781,16.1299991607666,12.9399995803833,6.982499897480011,20.084999561309814,,9.601971898760114,6.709999978542328,15.103333791097006,1.75,11.650000095367432,33.442501068115234,7.010000228881836,23.503958523273468,17.6299991607666,3.009999990463257,51.19999885559082,21.704999446868896,18.973695755004883,40.42916703224182,2.4100000858306885,6.329999923706055,8.614464849233627,5.275044043858846,52.37766075134277,7.739999771118164,8.579999923706055,23.760000228881836,46.8879997253418,8.140000025431315,22.329999446868896,27.187843322753906,24.51466464996338,18.030000686645508,,15.630000114440918
2020-01-08,9.730634212493896,38.19666608174642,8.393180796974583,9.310949563980103,6.922926735877991,4.626235292508052,5.99909094246951,6.858156882799589,4.24177272753282,5.419899628712581,5.470000096729824,4.877500116825104,13.461626370747885,,9.089285612106323,12.731666723887125,19.787499984105427,7.593015437430524,7.903647694476815,16.80799980163574,6.855471329255537,11.667312553950719,16.567142622811453,12.355000019073486,13.114999771118164,11.64983035836901,96.28525228159768,8.967999935150146,13.37027005588307,,,7.676640772819519,7.1316416036515005,16.144857972860336,,1.7400000095367432,8.724949479103088,3.8799999952316284,16.09659272549199,5.033749982714653,23.990872114896774,16.377499908208847,10.941111061308119,10.495714391980853,7.652422123485142,14.49809529667809,6.928571428571429,13.875352280480522,25.163333068291347,11.040270294461932,9.88265664760883,6.330000042915344,,13.306512928009033,26.654286112104142,16.788789735900032,4.224999904632568,22.45698642730713,18.09617328643799,5.190000057220459,10.314185047149659,15.47228056192398,11.589999940660265,9.193999874591828,11.92418259382248,16.374000358581544,14.196856664939665,35.18792375922203,6.730000078678131,41.065448340247656,24.206139586188577,8.970779531142291,12.684593391418456,2.359999974568685,11.59617097377777,23.82944107055664,11.572278022766113,17.574675464630126,9.888119220733643,8.21666669845581,12.771400928497314,8.010000228881836,4.16571433203561,9.25,15.819999694824219,13.62000048160553,6.892499923706055,20.680000066757202,,9.458294187273298,6.600000083446503,14.533333778381348,1.7000000476837158,11.52999997138977,33.350000858306885,7.010000228881836,23.275201559066772,16.350000381469727,3.109999895095825,51.08000087738037,21.505000114440918,18.57445592880249,40.408607959747314,2.440000057220459,6.130000114440918,8.544893771409988,5.210403680801392,51.430264472961426,7.550000190734863,8.180000305175781,23.389999389648438,46.642001152038574,7.776666482289632,22.036666949590046,26.834150314331055,23.748881340026855,17.40999984741211,,15.300000190734863
2020-01-09,9.79104654788971,38.57999928792318,8.554759929054661,9.44922543896569,6.986853575706482,4.639896209423359,6.030000003901395,6.883601592137263,4.279009103775024,5.509847806050227,5.475714308874948,4.802500069141388,13.983408013979593,,9.187857031822205,12.893333514531454,19.28416697184245,7.677224448386659,8.035157569619113,17.179999828338623,6.906296274878762,11.917902673993792,16.782856804983957,12.684999942779541,13.350000143051147,11.767211743763514,97.82717432294574,9.128999805450439,13.652850062239404,,,7.771459801991781,7.253610417956398,16.338342934846878,,1.6799999475479126,8.802024483680725,3.9000000953674316,16.213641400430717,5.078750006854534,24.455028384923935,15.967500358819962,10.98888874053955,10.667142731802803,7.678025735749139,14.677142824445452,7.032142775399344,13.903728587286812,25.896666646003723,11.207940936088562,9.878789782524109,6.366111053360833,,13.472663688659669,27.14999989100865,16.966064168347252,4.289999961853027,22.85483519236247,18.372535133361815,5.230000019073486,10.426765060424804,15.945392698049545,11.774444421132406,9.305000066757202,12.058375895023346,16.649999809265136,14.405542418990336,36.010514706373215,6.8500001430511475,42.54570111106424,24.918907642364502,9.080177387770485,12.812536636988321,2.396666725476583,11.6100168466568,24.247450137138365,11.277417927980423,17.62401113510132,10.088281393051147,8.103333155314127,12.955897092819214,8.100000381469727,4.1585714135851175,9.199999809265137,15.720000267028809,12.647499799728394,6.962500095367432,21.59249973297119,,9.617344311305455,6.670000076293945,14.663333257039389,1.7599999904632568,11.619999885559082,34.18249988555908,6.880000114440918,23.6227687895298,16.350000381469727,2.9700000286102295,52.57000112533569,23.089999675750732,18.818749618530273,41.85422396659851,2.390000104904175,6.170000076293945,8.629464745521545,5.220243811607361,51.857587814331055,7.619999885559082,8.359999656677246,23.860000610351562,50.30800094604492,7.829999923706055,22.323333501815796,27.12268829345703,24.190412521362305,18.059999465942383,,15.460000038146973
2020-01-10,9.800634288787842,39.06999969482422,8.600883797595376,9.447358780437046,7.015902376174926,4.62674297277744,6.019090901721608,6.856898436179528,4.266745502298528,5.366024347452017,5.4342856747763495,4.769999980926514,13.876887520154318,,9.141428538731166,12.768333514531454,19.012499888737995,7.674951416380862,8.002001535060794,16.799999618530272,6.977226430719549,11.9022262437003,16.761428696768625,12.59499979019165,13.287500262260437,11.830810342516218,99.08589620249612,9.121999883651734,13.708648352062001,,,7.777569468816122,7.253190880730038,16.381031066179276,,1.6200000047683716,8.79232782125473,3.8925000429153442,16.044411533019122,5.019375063478947,24.704337269067764,15.774999767541885,10.882222096125284,10.811428615025111,7.5479500028822155,14.65142848378136,6.967142854418073,13.860535212925502,25.871666431427002,11.303384814943586,9.815397005814772,6.325000007947286,,13.585657978057862,27.511428356170654,17.119524988863205,4.269999980926514,22.9722021818161,18.286127257347108,5.260000228881836,10.371724843978882,15.8215911090374,11.743333286709255,9.178999936580658,12.121480643749237,15.878000068664551,14.385192550403971,36.19874885678291,6.60999983549118,43.232108635060925,24.991451794450935,9.166145296657787,12.96711376508077,2.3399999936421714,11.505440616607666,24.364957666397096,10.947557240724564,17.814830350875855,10.072214365005493,7.940000057220459,12.886309385299683,8.130000114440918,4.092857156481061,9.15999984741211,15.489999771118164,12.387500405311584,6.902499973773956,21.574999570846558,,9.613115446908134,6.602499961853027,14.813333511352539,1.7100000381469727,11.580000400543213,34.27999925613403,6.929999828338623,23.37438055872917,16.040000915527344,2.9000000953674316,53.30000066757202,22.904999494552612,18.98575315475464,41.809340476989746,2.3499999046325684,6.139999866485596,8.708577066659927,5.218577106793721,51.77374076843262,7.599999904632568,8.239999771118164,23.649999618530273,50.92800045013428,7.736666679382324,21.860000212987263,27.634614944458008,24.27817503611247,17.899999618530273,,15.579999923706055
2020-01-13,9.843011355400085,38.866665522257485,8.625658951307598,9.53932860162523,7.062878060340881,4.642542784030621,5.999999924139543,6.878411824886616,4.279009114612233,5.346039643654456,5.4700000286102295,4.772499978542328,13.876978675524393,,9.18642851284572,13.291666587193808,19.008333325386047,7.749089626555747,8.08559539706208,17.113999843597412,6.98984863541343,11.813663959503174,16.95714282989502,12.694999694824219,13.320000290870667,11.860609497342791,100.31993229048592,9.147000098228455,13.809907564929887,,,7.79553390343984,7.337953544798351,16.509083956480026,,1.6399999856948853,8.814827799797058,3.887499988079071,16.34319047834359,5.038749985396862,25.452010879913967,15.780000269412994,11.01999995443556,10.831428595951625,7.585860093434651,14.755238067536126,6.975000108991351,14.022893871579852,26.64874991774559,11.435823781149727,9.865328238560604,6.325000021192762,,13.6405668258667,27.592857224600657,17.393524434831406,4.270000100135803,23.07962465286255,18.732294821739195,5.349999904632568,10.428539896011353,15.913136780261993,11.915555636088053,9.311000037193299,12.31892216205597,16.339999961853028,14.6106560179885,36.39949733018875,6.660000145435333,44.78983535486109,25.15961928801103,9.211505178142996,12.870967562993368,2.413333296775818,11.568935918807984,24.49094566106796,11.06283038854599,17.908442878723143,10.191274046897888,8.023333390553793,12.961309432983398,8.119999885559082,4.114285741533552,9.050000190734863,15.800000190734863,12.305000185966492,7.025000035762787,21.642499923706055,,9.61164903640747,6.627499938011169,15.666666348775228,1.649999976158142,11.569999694824219,33.46750020980835,7.03000020980835,23.713118135929108,15.800000190734863,2.9000000953674316,53.42999887466431,24.665000200271606,19.139882373809815,41.400153160095215,2.3399999141693115,6.179999828338623,8.724595844745636,5.226910511652629,52.56132888793945,7.679999828338623,8.300000190734863,23.6200008392334,52.35599975585937,8.02666680018107,22.44666624069214,27.783536911010742,24.43150742848714,18.709999084472656,,15.739999771118164
2020-01-14,9.804099178314209,38.30333264668783,8.490708878165798,9.558956993950737,7.1537316083908085,4.659808832865495,6.009090889583934,6.856129187804002,4.299454537304965,5.34823568050678,5.458571399961199,4.762499988079071,13.874010721842447,,9.237142716135297,13.165000041325888,18.84416675567627,7.770023487983866,8.062840988469679,16.9439998626709,6.984330849214033,11.723438126700264,16.868571553911483,12.570000171661377,13.242500066757202,11.820379631859916,98.87468613897052,9.20799994468689,13.84568024850359,,,7.860346929232279,7.3093670436314175,16.387710869312286,,1.600000023841858,8.812328159809113,3.887500047683716,16.32280317474814,5.033125072717667,25.08140351374944,15.737499952316284,11.259999805026585,10.771428380693708,7.650799896981981,14.71904772803897,6.978571466037205,13.728998286383492,26.158750305573147,11.51536042349679,10.010966676932116,6.316111061308119,,13.504940128326416,26.90285737173898,17.249543925126392,4.255000114440918,23.12746775150299,18.571651673316957,5.300000190734863,10.479642772674561,15.78596031665802,12.226666609446207,9.6,12.364214837551117,16.797999954223634,14.651095549825211,35.688171684741974,6.645000159740448,44.669690637027514,24.92727985165336,9.263562710846172,12.883812967936198,2.4766666491826377,11.594818043708802,24.316960406303405,11.133840024471283,17.622697639465333,9.75089943408966,7.90666659673055,13.76007342338562,8.270000457763672,4.112857171467373,9.039999961853027,15.760000228881836,12.21999979019165,7.085000038146973,21.295000553131104,,9.594752856663295,6.600000023841858,16.573333104451496,1.6399999856948853,11.514999628067017,32.93999910354614,7.179999828338623,23.684581398963928,15.630000114440918,2.9000000953674316,51.93999886512756,24.329999446868896,19.097062873840333,41.329754114151,2.3399999141693115,6.239999771118164,8.634267002344131,5.223697066307068,52.457143783569336,7.71999979019165,8.149999618530273,23.399999618530273,51.82599925994873,8.333333492279053,22.8733328183492,27.69976806640625,24.17930539449056,18.31999969482422,,15.6899995803833
2020-01-15,9.70620436668396,37.81666692097982,8.285045222232217,9.642819139692518,7.164926743507385,4.6221457444704495,5.955454620448026,6.839970350265503,4.263100028038025,5.311286651171171,5.402857099260602,4.7200000286102295,13.773955980936686,,9.197142788342067,12.886666774749756,18.589999834696453,7.767668551587044,8.000141088352647,16.896000099182128,6.976191108877009,11.70883205958775,16.71142864227295,12.550000190734863,13.182499885559082,11.725518226623535,99.34538757801056,9.05199999809265,13.769803372083926,,,7.991876117388407,7.274440254483904,16.392590284347534,,1.6549999713897705,8.8100705742836,3.8575000762939453,16.311231393440096,4.9856250286102295,24.938258558511734,15.795000433921814,11.268888923856947,10.7428571837289,7.507744405004713,14.641428538731166,6.952142817633493,13.758662291935511,26.4604166050752,11.617799213954381,9.728357049135061,6.228333406978184,,13.474202060699463,26.990000111716135,17.040150973531937,4.21999990940094,23.104333996772766,18.848332381248476,5.230000019073486,10.454940700531006,15.968206286430359,12.275555504692925,9.635999989509582,12.296627163887024,16.65999984741211,14.677266092367574,35.794806361198425,6.5149999260902405,45.11905486443464,24.989066969264638,9.23334689350689,12.7738618850708,2.450000007947286,11.44201135635376,24.092479169368744,11.056308954954147,17.404687452316285,10.047011017799377,7.809999942779541,13.78009581565857,8.149999618530273,4.034285681588309,9.050000190734863,15.5,12.187499642372131,7.1125001311302185,21.709999799728394,,9.499228409358434,6.584999918937683,17.570000012715656,1.6100000143051147,11.634999990463257,33.0,7.139999866485596,23.727009922266006,15.489999771118164,2.819999933242798,52.65499830245972,23.85499930381775,19.188185501098634,41.851412534713745,2.319999933242798,6.170000076293945,8.53857696056366,5.1855636437733965,52.056668281555176,7.599999904632568,8.170000076293945,23.25,52.633999061584475,8.523333390553793,22.533332983652752,27.625307083129883,24.35611375172933,18.209999084472656,,15.880000114440918
2020-01-16,9.645292139053344,37.686665852864586,8.293549161208304,9.567535228199429,7.170926904678344,4.590251037707696,5.902727408842607,6.764011584795439,4.2395090731707485,5.2613208293914795,5.332857166017805,4.705000042915344,13.617545008659363,,9.215714131082807,12.764999945958456,18.790833473205566,7.736064571015378,7.994345293488613,16.588000106811524,6.887142311442982,11.673362595694405,16.68999985286168,12.5,13.190000295639038,11.808167678969246,99.06886742796216,9.014999961853027,13.70963141964931,,,7.855727728207906,7.231879960922968,16.32627734541893,,1.6799999475479126,9.095070719718933,3.884999990463257,16.422652707380408,4.940624997019768,24.865542540947597,15.607500284910202,11.074444744322035,10.631428446088519,7.476053131951226,14.638571353185744,6.976428576878139,13.700578791754586,26.870000272989273,11.627528973988124,9.713796597260695,6.189444422721863,6.280909039757469,13.390179634094238,27.031428609575546,17.05252491765552,4.259999990463257,23.118877450625103,18.891718673706055,5.159999847412109,10.304348182678222,16.176283985376358,12.160000006357828,9.552999985218047,12.202907979488373,16.042000007629394,14.67281795051736,36.909072041511536,6.590000212192535,45.71746965015636,25.16933105208657,9.187317907810211,12.684699122111002,2.3866666158040366,11.252049851417542,24.214480030536652,10.987636595964432,17.43055429458618,9.927849411964417,7.8466668128967285,13.559866905212402,8.039999961853027,4.001428604125977,8.90999984741211,15.789999961853027,12.02750051021576,7.207499980926514,21.517499685287476,,9.482389790671212,6.492500126361847,16.849999745686848,1.5299999713897705,11.40999960899353,33.142500162124634,6.820000171661377,24.159354656934738,15.470000267028809,2.8299999237060547,54.88999938964844,23.700000524520874,19.127957916259767,41.74837827682495,2.4000000953674316,6.130000114440918,8.435583800077438,5.145723462104797,51.38282299041748,7.489999771118164,8.069999694824219,23.34000015258789,53.58200035095215,8.28000005086263,23.176666657129925,27.439151763916016,24.411683718363445,18.149999618530273,,16.010000228881836
2020-01-17,9.640704441070557,37.68333371480306,8.30257945311697,9.540469659699333,7.156926870346069,4.573396421395815,5.849999915469777,6.744930707491362,4.219981832937761,5.09522271156311,5.272857086999076,4.702500104904175,13.549375414848328,,9.146428499902997,12.515000025431315,18.763333280881245,7.731275096852729,7.983246176741844,16.561999607086182,6.903526913036,11.499067510877337,16.751428604125977,12.634999752044678,13.102500319480896,11.710989560399737,99.00754182679313,9.038000011444092,13.814979772941738,,,7.834235723813375,7.267863954816546,16.27590185403824,,1.6449999809265137,8.905131459236145,3.9125000834465027,16.44929702609193,4.927500009536743,24.86037223537763,15.98499944806099,11.031111319859823,10.48714290346418,7.403548823462592,14.566190481185913,6.8321428298950195,13.869800533567156,26.543333639701206,11.742142949785505,9.624861038648165,6.177222238646613,6.235454559326172,13.388948249816895,26.94714273725237,16.971543166372513,4.21999990940094,23.198721885681152,18.9050092458725,5.110000133514404,10.187628984451294,16.09839779138565,12.099999957614475,9.522999918460846,12.083493024110794,15.842000007629395,14.526001989001958,37.169873625040054,6.580000162124634,45.81918966068941,25.928375059908088,9.156255872810588,12.70239027341207,2.366666634877523,11.222956824302674,24.68449090719223,11.213763862848282,17.348415184020997,9.63523817062378,7.776666641235352,13.367550134658813,8.270000457763672,4.015714304787772,8.949999809265137,15.819999694824219,12.119999766349792,6.980000078678131,21.667500257492065,,9.466637338910784,6.474999785423279,18.150000254313152,1.5099999904632568,11.289999723434448,32.99999952316284,6.480000019073486,24.456789702177048,15.399999618530273,2.799999952316284,55.40999913215637,23.764999389648438,19.007995414733887,42.563172817230225,2.4200000762939453,6.110000133514404,8.341737270355225,5.1458033720652265,51.392215728759766,7.510000228881836,8.029999732971191,23.270000457763672,53.64600009918213,8.540000120798746,22.96666677792867,27.89522933959961,24.341577847798664,17.829999923706055,,17.170000076293945
2020-01-20,9.71604654788971,37.05999883015951,8.356133222579956,9.534636086887783,7.175853538513183,4.612457179106199,5.869091023098338,6.79248307301448,4.220872716470198,5.09830379486084,5.295714276177542,4.647500038146973,13.083840608596802,,9.149999942098345,12.450000047683716,19.144166668256123,7.7463920623698135,8.024810413981593,16.583999824523925,6.89710014516657,11.636304582868304,15.984285763331822,13.065000057220459,13.452499747276306,11.823713132313319,97.68130704334804,9.054000091552734,14.092088037846136,,,7.833684436480204,7.413115240278698,16.375836730003357,,1.6150000095367432,9.007510006427765,4.060000002384186,16.49388707852831,4.936250038444996,25.33038055896759,16.827500194311142,10.429999934302437,10.457142761775426,7.417777445581224,14.610000133514404,6.803571343421936,13.813923767634801,27.34916667143504,11.722136514527458,9.673411947030287,6.182777841885884,6.457272746346214,13.437364292144775,27.087143216814315,17.202309403154587,4.215000033378601,23.760878721872967,19.447544407844543,5.159999847412109,10.21334810256958,16.79637697339058,12.12666654586792,9.540999829769135,12.00714886188507,15.45799961090088,14.583254369211868,37.147478610277176,6.599999904632568,46.75732086686527,26.1788967739452,9.1587115946938,12.82899187405904,2.386666695276896,11.225452327728272,24.94248046875,11.172630250453949,17.143074798583985,9.62612783908844,7.863333384195964,13.384066104888916,8.630000114440918,4.0,9.09000015258789,16.459999084472656,12.147499918937683,6.940000057220459,22.889999628067017,,9.509247847965785,6.5899999141693115,17.976666768391926,1.4500000476837158,11.240000009536743,32.16250014305115,6.510000228881836,24.490357667207718,15.149999618530273,2.8499999046325684,55.71999979019165,23.90999984741211,19.1929141998291,44.886674642562866,2.430000066757202,6.150000095367432,8.513543903827667,5.159056703249614,52.28872489929199,7.630000114440918,8.09000015258789,23.15999984741211,54.52000007629395,8.3799999554952,22.81333303451538,27.923152923583984,24.56967035929362,18.209999084472656,,16.790000915527344
2020-01-21,9.564844870567322,36.39333407084147,8.17446686092176,9.327489998605516,7.138999891281128,4.5495928938572225,5.797272801399231,6.73634411738469,4.155918164686724,5.039120784172645,5.2371428694043844,4.5950000286102295,12.661347270011902,,8.943571312086922,12.103333512941996,18.831666827201843,7.635885045883503,7.926136587941369,16.293999767303468,6.9038215550509365,11.522414479936872,15.272857121058873,13.614999771118164,13.797499895095825,11.653780800955635,96.0212460075106,8.944999957084656,14.538105850126229,,,7.648848835627238,7.425641445886521,16.14214950799942,,1.600000023841858,8.772692143917084,4.030000030994415,16.202965474596212,4.871249981224537,25.17919651667277,16.532499939203262,9.938888761732313,10.312857151031494,7.3084292146894665,14.498095489683605,6.711428591183254,13.483470746449061,27.393750250339508,11.448172586304802,9.444758516091566,6.098333385255602,6.5018181584098125,13.312048435211182,26.12142883028303,17.009743591149647,4.120000004768372,24.37627188364665,19.577968788146972,5.059999942779541,10.057350206375123,16.94130352139473,11.965555826822916,9.257000052928925,11.858183473348618,14.912000179290771,14.421953773834336,36.739087641239166,6.6650002002716064,46.52355157627779,26.75016002221541,8.95758703175713,12.381910546620686,2.3766666650772095,11.111650776863097,24.76299217939377,11.147560387849808,16.879052591323852,9.03001606464386,7.740000009536743,13.406749248504639,8.239999771118164,3.869999953678676,9.09000015258789,15.84000015258789,12.192500233650208,6.9375001192092896,21.382499933242798,,9.396580423627581,6.459999859333038,16.99333318074544,1.4299999475479126,11.160000324249268,31.107500076293945,6.489999771118164,23.92417886853218,14.899999618530273,2.809999942779541,55.524999141693115,24.33500075340271,18.82158203125,45.75221109390259,2.3499999046325684,6.110000133514404,8.385222613811493,5.104416489601135,50.94760227203369,7.5,7.849999904632568,22.25,55.75400009155273,8.019999980926514,22.360000292460125,27.299535751342773,24.78813902537028,17.93000030517578,,16.34000015258789
2020-01-22,9.56332733631134,36.489999771118164,8.1317584263651,9.317916101879543,7.157878112792969,4.547453894064977,5.774545431137085,6.718641831324651,4.159118208018216,5.032123950811533,5.267142840794155,4.569999873638153,12.736182808876038,,8.956428630011422,11.96833356221517,18.778333067893982,7.628602301820796,7.961996028589648,16.138000202178954,6.781031153418801,11.569491590772357,15.464285578046526,13.575000286102295,13.509999752044678,11.582387157848903,96.01728865078518,8.977999949455262,14.186551073018242,,,7.601412185033163,7.293781677881877,15.825148075819016,,1.625,8.69269210100174,4.092500030994415,16.393331611857693,4.82124999165535,25.738063553969067,16.085000336170197,9.7711111969418,10.25857148851667,7.277848455641005,14.49809523991176,6.711428676332746,13.56469338280814,27.614166607459385,11.174620372908455,9.511523274274973,6.0950000286102295,6.570000019940463,13.25011100769043,26.255713939666748,17.286403596401215,4.120000004768372,24.352626005808514,20.054067015647888,5.050000190734863,10.095477056503295,16.779881536960602,11.971111191643608,9.194999992847443,11.732632368803024,15.321999645233154,14.513332660769073,36.733920872211456,6.604999899864197,48.65828502879423,26.454216892069038,8.871372997760773,12.329349708557128,2.446666638056437,11.124162173271179,24.766999387741087,11.086566388607025,16.741983366012573,9.1663978099823,7.71666677792867,13.16438627243042,8.279999732971191,3.8599999972752164,8.960000038146973,15.5600004196167,11.745000004768372,6.877499997615814,21.46749973297119,,9.3337801524571,6.457499921321869,17.06000010172526,1.440000057220459,10.649999856948853,31.267500162124634,6.46999979019165,23.83925211429596,14.710000038146973,2.7799999713897705,55.40000057220459,26.350000619888306,19.121895027160644,46.53881907463074,2.4000000953674316,6.059999942779541,8.577424734830856,5.089736302693685,50.909287452697754,7.519999980926514,7.940000057220459,22.540000915527344,53.63799934387207,8.336666742960611,22.04333273569743,27.29022789001465,24.745017369588215,18.360000610351562,,15.970000267028809
2020-01-23,9.309441781044006,35.153334299723305,7.827360793163902,8.988014181454977,6.955024361610413,4.422093932445232,5.6572726206346,6.526134876104502,4.046000003814697,4.94770624087407,5.1528571333204,4.485000014305115,12.279236614704132,,8.635000092642647,11.374999761581421,18.536666711171467,7.353615106420314,7.636641629906588,15.154000091552735,6.5322558879852295,10.921325036457606,14.82285703931536,13.859999656677246,13.194999814033508,11.36482400553567,93.50889868395669,8.770999956130982,13.930484313590854,,,7.3062918027242025,7.13308310508728,15.078916847705841,,1.5799999237060547,8.540921211242676,3.899999976158142,15.853234968933405,4.6756250485777855,24.601869136095047,15.669999659061432,9.338888963063559,9.818571363176618,6.968120283550686,13.807618833723522,6.555714249610901,12.905549560274396,26.24708331624667,10.784485237939018,9.28438077523158,5.907222290833791,6.330909165469083,12.514897346496582,25.724285875047958,16.67231701480018,4.0299999713897705,24.17404838403066,19.577940821647644,4.809999942779541,9.775806784629822,16.310958802700043,11.635555585225424,8.767000007629395,11.537045761942863,15.558000087738037,13.964808032546244,35.569366097450256,5.969999969005585,48.437818330876965,26.112434799020942,8.494316960082335,11.736000045140583,2.3700000047683716,10.807615971565246,23.434020662307738,10.487248688936234,16.3512966632843,8.839558720588684,7.4266665776570635,12.67326021194458,7.920000076293945,3.739999941417149,9.09000015258789,14.800000190734863,11.580000162124634,6.627499997615814,21.22749972343445,,9.113149404525757,6.257499873638153,15.890000025431315,1.4600000381469727,10.21999979019165,30.172499895095825,6.53000020980835,22.904872864484787,14.829999923706055,2.6700000762939453,53.33500003814697,24.21000051498413,18.475113105773925,45.62144446372986,2.3399999141693115,5.880000114440918,8.235814929008484,5.00882883866628,49.55446434020996,7.260000228881836,7.760000228881836,22.510000228881836,52.45,8.056666692097982,20.78000005086263,26.666610717773438,25.202637990315754,17.399999618530273,,15.3100004196167
