Date,Open,High,Low,Close,Volume
2019-11-28,13.369999885559082,13.5,13.210000038146973,13.34000015258789,1783602
2019-11-29,13.34000015258789,13.399999618530273,13.170000076293945,13.380000114440918,1672967
2019-12-02,13.430000305175781,13.479999542236328,13.15999984741211,13.279999732971191,3016566
2019-12-03,13.279999732971191,13.300000190734863,13.109999656677246,13.260000228881836,1676000
2019-12-04,13.210000038146973,13.40999984741211,13.199999809265137,13.34000015258789,1445727
2019-12-05,13.350000381469727,13.420000076293945,13.300000190734863,13.399999618530273,2000647
2019-12-06,13.399999618530273,13.449999809265137,13.220000267028809,13.329999923706055,2142551
2019-12-09,13.300000190734863,13.329999923706055,13.180000305175781,13.239999771118164,2689761
2019-12-10,13.220000267028809,13.279999732971191,13.149999618530273,13.229999542236328,1752748
2019-12-11,13.279999732971191,13.279999732971191,13.130000114440918,13.1899995803833,2020591
2019-12-12,13.180000305175781,13.220000267028809,13.109999656677246,13.1899995803833,1716772
2019-12-13,13.25,13.350000381469727,13.199999809265137,13.329999923706055,3231757
2019-12-16,13.359999656677246,13.470000267028809,13.220000267028809,13.449999809265137,4076334
2019-12-17,13.460000038146973,13.630000114440918,13.40999984741211,13.609999656677246,3685647
2019-12-18,13.59000015258789,13.630000114440918,13.510000228881836,13.550000190734863,2997790
2019-12-19,13.579999923706055,13.630000114440918,13.510000228881836,13.600000381469727,3570458
2019-12-20,13.59000015258789,13.649999618530273,13.430000305175781,13.4399995803833,3205950
2019-12-23,13.390000343322754,13.479999542236328,13.239999771118164,13.25,2649996
2019-12-24,13.239999771118164,13.380000114440918,13.239999771118164,13.369999885559082,1239600
2019-12-25,13.390000343322754,13.550000190734863,13.380000114440918,13.420000076293945,2157100
2019-12-26,13.399999618530273,13.609999656677246,13.399999618530273,13.579999923706055,2878574
2019-12-27,13.529999732971191,13.649999618530273,13.470000267028809,13.489999771118164,2986708
2019-12-30,13.460000038146973,13.579999923706055,13.350000381469727,13.569999694824219,3368832
2019-12-31,13.59000015258789,14.050000190734863,13.539999961853027,13.859999656677246,7790166
2020-01-02,13.869999885559082,13.9399995803833,13.739999771118164,13.890000343322754,6057264
2020-01-03,13.890000343322754,14.109999656677246,13.8100004196167,13.899999618530273,4359750
2020-01-06,13.850000381469727,13.989999771118164,13.720000267028809,13.890000343322754,4157455
2020-01-07,13.920000076293945,14.079999923706055,13.880000114440918,14.0600004196167,3610715
2020-01-08,13.800000190734863,13.800000190734863,13.800000190734863,13.800000190734863,3741031
2020-01-09,13.880000114440918,14.1899995803833,13.880000114440918,14.140000343322754,5540988
2020-01-10,14.15999984741211,14.180000305175781,14.029999732971191,14.15999984741211,2637735
2020-01-13,14.170000076293945,14.170000076293945,14.170000076293945,14.170000076293945,3777799
2020-01-14,14.260000228881836,14.260000228881836,14.260000228881836,14.260000228881836,4627921
2020-01-15,14.25,14.319999694824219,14.069999694824219,14.119999885559082,2932865
2020-01-16,14.149999618530273,14.170000076293945,13.84000015258789,13.949999809265137,4007299
2020-01-17,13.960000038146973,14.229999542236328,13.890000343322754,14.020000457763672,3606102
2020-01-20,14.180000305175781,14.5,14.020000457763672,14.300000190734863,5666714
2020-01-21,14.420000076293945,15.09000015258789,14.420000076293945,14.899999618530273,15854137
2020-01-22,15.050000190734863,15.149999618530273,14.34000015258789,14.510000228881836,9409667
2020-01-23,14.899999618530273,14.899999618530273,14.050000190734863,14.130000114440918,8741636
2020-02-03,13.649999618530273,13.65999984741211,12.720000267028809,12.930000305175781,10999356
2020-02-04,12.979999542236328,13.5,12.979999542236328,13.479999542236328,8149194
2020-02-05,13.4399995803833,14.300000190734863,13.25,14.149999618530273,11197725
2020-02-06,14.039999961853027,14.710000038146973,14.039999961853027,14.520000457763672,14376483
2020-02-07,14.65999984741211,14.75,14.020000457763672,14.15999984741211,10533271
2020-02-10,14.039999961853027,14.130000114440918,13.710000038146973,13.829999923706055,7330340
